24-06-18 14:19:38:330 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
24-06-18 14:19:38:401 [main] INFO  c.e.L.LoanManagementApplication - Starting LoanManagementApplication using Java 17.0.10 with PID 8440 (C:\Users\rahul.gla_spicemoney\OneDrive\Desktop\Springboot\LoanManagement\target\classes started by rahul.gla_spicemoney in C:\Users\rahul.gla_spicemoney\OneDrive\Desktop\Springboot\LoanManagement)
24-06-18 14:19:38:402 [main] INFO  c.e.L.LoanManagementApplication - No active profile set, falling back to 1 default profile: "default"
24-06-18 14:19:39:535 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
24-06-18 14:19:39:833 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 136 ms. Found 5 JPA repository interfaces.
24-06-18 14:19:40:559 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
24-06-18 14:19:40:571 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
24-06-18 14:19:40:574 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-06-18 14:19:40:575 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
24-06-18 14:19:40:701 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-06-18 14:19:40:702 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2253 ms
24-06-18 14:19:40:983 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
24-06-18 14:19:41:079 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
24-06-18 14:19:41:121 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
24-06-18 14:19:41:599 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
